#NAME	GSM442218	GSM442219	GSM442220	GSM442221
#CLASS	absent	absent	present	present
1553062_at	11.7	2.5	8.8	13.9
1553063_at	20.8	20.6	1.7	15.3
1553064_at	4.1	17.8	5.4	2.2
1553066_at	0.8	4.8	9.0	6.0
1553067_a_at	6.5	10.1	5.4	2.9
1553069_at	19.0	1.1	3.7	2.2
1553070_a_at	4.9	17.6	12.3	5.1
1553071_a_at	1.2	1.4	2.8	3.3
1553072_at	9.8	9.6	9.8	12.7
1553074_at	0.5	5.2	1.3	9.7
1553075_a_at	0.8	0.4	7.2	4.8
1553076_at	5.6	4.5	0.8	0.7
1553077_at	11.4	3.6	8.5	10.6
1553078_at	17.4	15.5	14.0	12.9
1553079_at	1.3	1.4	2.7	4.1
1553080_at	16.7	13.7	9.1	11.9
1553081_at	4.9	10.7	18.2	3.7
1553082_at	2.9	1.3	3.0	0.9
1553083_at	6.0	5.4	2.6	7.9
1553084_at	6.2	0.4	11.9	4.5
1553086_at	7.5	4.6	0.7	1.0
1553087_at	12.6	1.5	3.2	8.8
1553088_a_at	35.8	26.9	61.8	35.4
1553089_a_at	2.7	1.0	6.1	9.8
1553093_a_at	4.3	10.3	0.9	11.7
1553094_at	2.5	3.9	6.6	2.4
1553096_s_at	140.4	128.3	61.7	63.5
1553099_at	38.0	40.6	56.3	40.4
1553101_a_at	468.2	562.9	798.5	727.7
